community,region,area_sqm,floor,orientation,decoration,build_year,total_price_wan,unit_price_yuan_per_sqm,source_file,source
虹中路2弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科海上传奇(一二期),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
虹浦新城(南区),,,,,毛坯,,,,dataset.csv,anjuke_kaggle
沉香苑一街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹梅别墅,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,豪华装修,,,,dataset.csv,anjuke_kaggle
长达佳苑(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
上虹新村七八九街坊,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
绿洲康城亲水湾(中区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
汇颂南苑,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
永泰花苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
中企云启春申,,,,,精装修,,,,dataset.csv,anjuke_kaggle
景舒苑八村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
上虹新村七八九街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
永泰花苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
潼港东八村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
海洲桃花园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
上虹新村七八九街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
高行绿洲六期,,,,,精装修,,,,dataset.csv,anjuke_kaggle
招商臻境,,,,,精装修,,,,dataset.csv,anjuke_kaggle
吴中路1001弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
高行绿洲六期,,,,,精装修,,,,dataset.csv,anjuke_kaggle
长泰公馆,,,,,精装修,,,,dataset.csv,anjuke_kaggle
吴中路1001弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
永泰花苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
世博家园十四街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
四季都会·青藤里,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
虹梅别墅,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
闵浦新苑四村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
金地未未来,,,,,精装修,,,,dataset.csv,anjuke_kaggle
滨浦新苑七村,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
尼德兰花园(二期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
金光小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
学前街88弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
金地未未来,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凌兆十一村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
金地艺华年(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
鹤沙航城东茗苑(东区),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
鹤沙航城昱星家园(东区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
浦江瑞和城玖街区,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
浦凌佳苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
沉香苑一街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
浦江瑞和城玖街区,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
高行绿洲五期,,,,,精装修,,,,dataset.csv,anjuke_kaggle
三林安居苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
绿地临港家园海洋小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹中路2弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
三林苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
高行绿洲五期,,,,,精装修,,,,dataset.csv,anjuke_kaggle
